product_id,product_name,category,subcategory,brand,cost_price
PROD-0001,StyleCraft Accessories Item 1,Electronics,Accessories,StyleCraft,65.0
PROD-0002,CoreMax Accessories Item 2,Electronics,Accessories,CoreMax,12.79
PROD-0003,FitZone Appliances Item 3,Home & Kitchen,Appliances,FitZone,180.42
PROD-0004,PureGlow Fragrance Item 4,Beauty,Fragrance,PureGlow,149.37
PROD-0005,CoreMax Audio Item 5,Electronics,Audio,CoreMax,88.36
PROD-0006,UrbanLine Men Item 6,Fashion,Men,UrbanLine,98.08
PROD-0007,NovaTech Shoes Item 7,Fashion,Shoes,NovaTech,183.78
PROD-0008,StyleCraft Skincare Item 8,Beauty,Skincare,StyleCraft,208.2
PROD-0009,UrbanLine Women Item 9,Fashion,Women,UrbanLine,16.23
PROD-0010,FitZone Men Item 10,Fashion,Men,FitZone,217.29
PROD-0011,HomePro Haircare Item 11,Beauty,Haircare,HomePro,95.69
PROD-0012,HomePro Men Item 12,Fashion,Men,HomePro,135.86
PROD-0013,StyleCraft Makeup Item 13,Beauty,Makeup,StyleCraft,247.43
PROD-0014,BrightLife Outdoor Item 14,Sports,Outdoor,BrightLife,211.5
PROD-0015,BrightLife Appliances Item 15,Home & Kitchen,Appliances,BrightLife,103.29
PROD-0016,FitZone Footwear Item 16,Sports,Footwear,FitZone,165.58
PROD-0017,StyleCraft Fragrance Item 17,Beauty,Fragrance,StyleCraft,39.21
PROD-0018,CoreMax Footwear Item 18,Sports,Footwear,CoreMax,224.97
PROD-0019,PureGlow Cookware Item 19,Home & Kitchen,Cookware,PureGlow,27.27
PROD-0020,HomePro Audio Item 20,Electronics,Audio,HomePro,199.06
PROD-0021,CoreMax Computers Item 21,Electronics,Computers,CoreMax,150.99
PROD-0022,UrbanLine Men Item 22,Fashion,Men,UrbanLine,172.02
PROD-0023,UrbanLine Shoes Item 23,Fashion,Shoes,UrbanLine,76.91
PROD-0024,HomePro Smart Devices Item 24,Electronics,Smart Devices,HomePro,129.38
PROD-0025,HomePro Women Item 25,Fashion,Women,HomePro,96.61
